label,question,label_position
translate,what expression would i use to say i love you if i were an italian,0
translate,"can you tell me how to say 'i do not speak much spanish', in spanish",0
translate,"what is the equivalent of, 'life is good' in french",0
translate,"tell me how to say, 'it is a beautiful morning' in italian",0
translate,"if i were mongolian, how would i say that i am a tourist",0
translate,how do i say 'hotel' in finnish,0
translate,"i need you to translate the sentence, 'we will be there soon' into portuguese",0
translate,please tell me how to ask for a taxi in french,0
translate,"can you tell me how i would say, 'more bread please' in french",0
translate,what is the correct way to say 'i am a visitor' in french,0
translate,"how would i say, 'i don't know the answer' in spanish",0
translate,i would like to know the proper way to greet an adult in portuguese,0
translate,what words would i use to tell someone i am lost if i were japanese,0
translate,how would i say thank you if i were russian,0
translate,can you tell me how i would normally say thank you as a french person,0
translate,i would like to know how to say hello in french,0
translate,if i were english how would i say subway,0
translate,i would i say subway if i were english,0
translate,how do you say hi in french,0
translate,in england how do they say subway,0
translate,translate hello in french,0
translate,how is hello said in french,0
translate,what do you call a subway if you were english,0
translate,how would i say if i were english subway,0
translate,how should i say hello in french,0
translate,how could i say twin in chinese,0
translate,how can i say not now in spanish,0
translate,what do spanish people say for the word cow,0
translate,translate hello to english,0
translate,how do you say goodbye in spanish,0
translate,how would i say love in french,0
translate,could you translate atm machine into english,0
translate,please translate grocery into french for me,0
translate,how do germans say goodnight,0
translate,tell me how the russians say notebook,0
translate,how do vietnameses people say hello,0
translate,how do i say thank you in japanese,0
translate,what is latin for i love you,0
translate,how can i thank somebody in italian,0
translate,how do i say you're welcome in chinese,0
translate,translate hello english to french,0
translate,what is hello in french,0
translate,what phrase means goodbye in hawaii,0
translate,what spanish word means hello,0
translate,translate hello to french,0
translate,translate english to french hello,0
translate,what is the word for hello spanish,0
translate,how do they say goodbye in hawaii,0
translate,what's local slang for goodbye in hawaii,0
translate,how do you say hello in french,0
translate,tell me how to say hello in spanish,0
translate,what do i say for goodbye in hawaii,0
translate,translate hello into french for me,0
translate,how do i say hello in french,0
translate,translate for me hello into french,0
translate,how would they say say goodbye in hawaii,0
translate,what is spanish for hello,0
translate,how would i say hello in french,0
translate,how can i say i love you in italy,0
translate,what is spanish for good morning,0
translate,how do you say it's snowing in german,0
translate,how would you say can i borrow five dollars in portuguese,0
translate,do you know how to say where is the restroom in french,0
translate,how would i say pleased to meet you if i were japanese,0
translate,can you translate hello into swedish for me,0
translate,can you translate i love you into french for me,0
translate,can you translate where's the bar into irish for me,0
translate,how would i say goodbye if i were norwegian,0
translate,how would i say i love you if i were french,0
translate,how would i say hello if i were swedish,0
translate,can you translate good bye into russian for me,0
translate,can you translate i have to go pee into korean for me,0
translate,how would i say i'm not guilty if i were mexican,0
translate,how do you say thank you in spanish,0
translate,how does one say thank you in spanish,0
translate,how can i say thank you in spanish,0
translate,what is thank you in spanish,0
translate,what is the way to say thank you in spanish,0
translate,"how do they say ""who is your father"" in german",0
translate,"how do they say ""where's the bathroom"" in spanish",0
translate,"how do they say ""how's it going"" in swahili",0
translate,"how do they say ""i love you"" in japanese",0
translate,"how do they say ""what's up"" in chinese",0
translate,how do you say thank you in german,0
translate,how do you say please in arabic,0
translate,how do you say cat in spanish,0
translate,how do you say i'm hungry in french,0
translate,how do you say i need coffee in dutch,0
translate,how do they say yes in brazil,0
translate,can you translate cat into russian for me,0
translate,can you translate bowl into russian for me,0
translate,how do they say hello in france,0
translate,i wanna know a phrase in spanish,0
translate,can you translate bat into russian for me,0
translate,how do they say no in germany,0
translate,can you translate hi into spanish for me,0
translate,i wanna learn a phrase in russian,0
translate,how do they say hello in germany,0
translate,can you translate milk into spanish for me,0
translate,how do they say hello in brazil,0
transfer,i need $20000 transferred from my savings to my checking,1
transfer,complete a transaction from savings to checking of $20000,1
transfer,transfer $20000 from my savings account to checking account,1
transfer,take $20000 from savings and put it in checking,1
transfer,put $20000 into my checking account from my savings account,1
transfer,send 100 dollars between bank of the west and bank of america acccounts,1
transfer,send 50 dollars between bank of america and chase accounts,1
transfer,send 2000 dollars between chase and rabobank accounts,1
transfer,send 1200 dollars between usaa and navy federal accounts,1
transfer,send 400 dollars between city bank and usaa accounts,1
transfer,take $40 and transfer it to account a from b,1
transfer,transfer $40 from account a to b,1
transfer,move $40 from account b to account a,1
transfer,put $40 from account a to b,1
transfer,take $40 from account a and transfer it to account b,1
transfer,i need to transfer from this account to that one,1
transfer,need to transfer from one account to my other one,1
transfer,i would like to transfer from one account to my second one,1
transfer,i need to transfer from one account to my second one,1
transfer,i have to transfer from one account to my other one,1
transfer,send fifty dollars from me to carrie,1
transfer,transfer sixty dollars to dad from my biggest accnt,1
transfer,send over a hundred dollars from huntington into saving,1
transfer,move 57 dollars from saving into mom,1
transfer,transfer two hundred dollars between my portfolio and my money market account,1
transfer,i need to transfer ten dollars from my bank of america account to my capital one account,1
transfer,go ahead and send ten dollars from bank of america to capital one,1
transfer,i must transfer ten dollars from my bank of america account to my capital one account,1
transfer,i got to transfer ten dollars from my bank of america account to my capital one account,1
transfer,i want you to send ten dollars from bank of america to capital one,1
transfer,i need you to send ten dollars from bank of america to capital one,1
transfer,i have to transfer ten dollars from my bank of america account to my capital one account,1
transfer,send ten dollars from bank of america to capital one,1
transfer,please send ten dollars from bank of america to capital one,1
transfer,make a transfer of $200 from my savings account to my checking account,1
transfer,please transfer $250 from checking to savings,1
transfer,transfer $500 from my checking to my savings,1
transfer,please transfer $100 from my checking to my savings account,1
transfer,transfer $500 from my money market savings account to my checking account,1
transfer,send money from one account to another,1
transfer,transfer 200 dollars from paypal to savings,1
transfer,transfer $10 from checking to savings,1
transfer,send $100 from paypal to my bank,1
transfer,please transfer 100 dollars between my amazon payments and savings accounts,1
transfer,i would like to make a transfer,1
transfer,i want to transfer funds between accounts,1
transfer,send over 50 dollars between my shared and not shared accounts,1
transfer,whats the quickest way to money from one account to another,1
transfer,what is the process to move money from one account to another,1
transfer,i need you to send 500 dollars from my high tier account to my regular checking account,1
transfer,can you transfer money from a to b,1
