label,question,label_position
addcontact,add a new email contact to my list,42
addcontact,add email,42
addcontact,add dan's email,42
addcontact,add carl's email to my contact,42
addcontact,i need you to add gary's email to my favorites,42
addcontact,save this email in contact,42
addcontact,can you add a new email to my contacts,42
addcontact,please add contact e mail johndoe@yahoocom to john doe's contact information,42
addcontact,will you please put something something@gmailcom in my contacts,42
addcontact,save new email addresses to my contacts,42
addcontact,email <unk> @gmailcom add to email contacts,42
addcontact,add lowes hardware to my contact emails located in cleveland ohio,42
addcontact,here's an email address,42
addcontact,add email to contacts,42
addcontact,save that email as a new contact,42
addcontact,add a new email address which is,42
addcontact,save my contacts,42
addcontact,add work email address,42
addcontact,add a new email,42
addcontact,add this person's email,42
addcontact,please add to my contact lists and send them a reminder email,42
addcontact,make a new contact with this email,42
addcontact,save the email to my contact,42
addcontact,i need to add this new contact for sam smith ssmith@yahoocom,42
affirm,yes it was perfect.,49
affirm,you did your understanding exactly.,49
affirm,get answer perfectly.,49
affirm,you have gotten my instructions correcly.,49
affirm,you have done command correcly.,49
affirm,yeap good response.,49
affirm,yes that is confirmed.,49
affirm,excellent.,49
affirm,correct.,49
affirm,yeah agreed.,49
affirm,yeah exact response to command.,49
affirm,yeah you have got your understanding perfectly.,49
affirm,you did it correcly.,49
affirm,yes fantastic response to the command.,49
affirm,yeah perfect response.,49
affirm,you have done your understanding right.,49
affirm,yeah you've done that exactly.,49
affirm,you've done it perfectly.,49
affirm,get that perfectly.,49
affirm,yes you've got your understanding perfectly.,49
affirm,yeah perfectly.,49
affirm,yes amazing response to the command.,49
affirm,yeap.,49
affirm,yeah you've done the command exactly.,49
audiobook,resume a song from the audiobook by madonna,33
audiobook,i want to hear more audiobook,33
audiobook,play 'the two towers,33
audiobook,play audiobook <unk>,33
audiobook,continue from where we left off in divergent,33
audiobook,stop audiobook,33
audiobook,open song name,33
audiobook,list me the audiobooks i have already listened to,33
audiobook,play next episode of harry potter by j. k. rowling,33
audiobook,continue with my audiobook please,33
audiobook,play my favourite book,33
audiobook,restart the audiobook heaven is for real,33
audiobook,book please,33
audiobook,play from my last session of joes book,33
audiobook,re start bill nye book,33
audiobook,start audiobook again,33
audiobook,hold,33
