label,question,label_position
accept_reservations,will i be able to schedule a reservation at 4 seasons in los angeles,93
accept_reservations,does arbys in lakewood take reservations,93
accept_reservations,does marios in brooklyn take reservations,93
accept_reservations,is grub burger taking reservations,93
accept_reservations,tell me if per se in nyc takes reservations,93
accept_reservations,does spago in beverly hills allow customers to make reservations,93
accept_reservations,can i get a reservation at melting pot tomorrow,93
accept_reservations,is it possible to make reservations with famous dave's restaurant,93
accept_reservations,does nopa in san francisco take reservations,93
accept_reservations,do they take reservations at mcdonalds,93
accept_reservations,is it possible to reserve a table at white castle,93
accept_reservations,does the steakhouse on main st take reservations,93
accept_reservations,does tartine in san francisco take reservations,93
accept_reservations,does black rock take reservations,93
accept_reservations,does minnis take reservations,93
accept_reservations,i need to find out do you know if zeus does reservations,93
accept_reservations,do they take reservations at arby's,93
accept_reservations,does olive garden take reservations,93
accept_reservations,is there evening reservations available in the eve,93
accept_reservations,does gramercy tavern accept reservations,93
accept_reservations,does bill's house of chop suey accept reservations,93
accept_reservations,does buffalo wild wings in concord take reservations,93
accept_reservations,do they take reservations at outback steakhouse,93
accept_reservations,tell me if the cheshire takes reservations,93
accept_reservations,tell me if the new york restaurant takes reservations,93
account_blocked,tell me why i get an error logging in to my bank account,97
account_blocked,why would a hold have been placed on my checking account,97
account_blocked,what was the reason my bank account was frozen,97
account_blocked,can anyone let me know the reason behind my frozen bank account,97
account_blocked,why in the world am i locked out of my bank account,97
account_blocked,my account looks to be blocked and i have no idea why,97
account_blocked,can i talk to someone about why there is a hold on my checking account,97
account_blocked,for what reason is my account blocked,97
account_blocked,"in regards to my wells fargo account, why is there a hold",97
account_blocked,how is it possible that my account has been frozen,97
account_blocked,why is there a delay on my checking account,97
account_blocked,why am i unable to access my bank account,97
account_blocked,"could you please tell me, my wells fargo account, is there a hold and why",97
account_blocked,can you explain to me why my bank account might be frozen,97
account_blocked,why on earth would a block have been placed on my account,97
account_blocked,why is my bank account stopping all transactions from going through,97
account_blocked,call my bank customer service number,97
account_blocked,my capital one account has a hold; why,97
account_blocked,do you know why i can't log into my bank account,97
account_blocked,why is my account blocked,97
account_blocked,how do i unlock my bank account,97
account_blocked,i don't understand why my bank account is frozen right now,97
account_blocked,tell me the reason there is a hold or block on my account,97
account_blocked,what is the reason for frozen status on my bank account,97
account_blocked,check with my bank to see why my account is frozen,97
alarm,set me an alarm now,73
alarm,"at 9 tomorrow, set off the alarm",73
alarm,please set up an alarm to go off tomorrow at daybreak,73
alarm,set my alarm for six tomorrow morning,73
alarm,set the alarm for me,73
alarm,i'd like alarms set for 11am and 132pm,73
alarm,can you play an alarm at 5pm,73
alarm,i want an alarm to go off at 9 am,73
alarm,set an alarm to go to sleep and another to wake up,73
alarm,set an alarm for 5 pm,73
alarm,set an alarm for 9 tomorrow,73
alarm,i need an alarm to wake me up at 8 tomorrow morning,73
alarm,set a 5 am alarm please,73
alarm,set an alarm for 9pm please,73
alarm,tomorrow i would like an alarm for 9 tomorrow,73
alarm,please turn on the alarm,73
alarm,set an alarm to work out and another to go home,73
alarm,please create an alarm for 5:45 am and an alarm for 6:15 am,73
alarm,put in an alarm for 5pm,73
alarm,"set an alarm for 6am, please",73
alarm,set an alarm for 6 am tomorrow,73
alarm,set reminder for 2 pm,73
alarm,i need alarms set for 6am and 615am,73
alarm,can you set alarm for me,73
alarm,i want an alarm set,73
application_status,at what point will the review of my credit card application be completed,15
application_status,can you tell me when my credit card application will be processed,15
application_status,could you check and see if my credit card application has been processed and approved or not,15
application_status,check the status of my credit card application please,15
application_status,has there been any notice that my card app has been looked at,15
application_status,what is the present status of my credit card application,15
application_status,please look into the latest status of my credit card application,15
application_status,i applied for a visa card; did that go through,15
application_status,is my application processed for credit card,15
application_status,my credit card application status,15
application_status,can you please tell me about the status of my credit card application,15
application_status,update me on the status of my credit card application,15
application_status,how long to process my credit card application,15
application_status,please find out the current status of my credit card application,15
application_status,how much longer until my credit card application is checked,15
application_status,was my application approved or not for a credit card at chase bank,15
application_status,is my credit card application approved,15
application_status,did discover get my card application yet,15
application_status,how can i track the progress of my credit card application,15
application_status,did my visa card app go through yet,15
application_status,what exactly is the status of my application for the credit card,15
application_status,check on my credit card application,15
application_status,my credit card application has what status,15
application_status,has visa gotten back to me regarding my card app,15
application_status,i want to know if my credit card application has been processed,15
apr,can you tell me how good my card's apr is,54
apr,what will the apr on my transferred balance be after the first year on my bank of america credit card,54
apr,i need to know the apr on my credit union visa,54
apr,what is the apr on my first bank card account,54
apr,how much is my apr on my bank of america card,54
apr,is the apr on my card that ends 1234 what it should be based on my credit score,54
apr,give me the apr for my mastercard,54
apr,"what's the apr on my visa card, please",54
apr,it would be great if you could tell me my credit card's apr,54
apr,what is the apr to my credit card,54
apr,how high is the apr on my credit card,54
apr,the apr on my visa card is what,54
apr,tell me what my credit card's apr is,54
apr,"the apr on my disney visa, what is that exactly",54
apr,what's my apr on the credit card i used for a purchase a week ago,54
apr,how good is card apr,54
apr,tell me my credit card's annual percentage rate,54
apr,what is the apr on my amex card,54
apr,i need to know the apr for my visa card,54
apr,what is the apr on my master card,54
apr,now tell me my credit card's apr,54
apr,what's my apr on this card,54
apr,what is the credit card apr please,54
apr,is my visa card's apr decent,54
apr,can you tell me the apr of my target credit card,54
are_you_a_bot,would you say you are a bot,133
are_you_a_bot,would you say that you are human or copmuter,133
are_you_a_bot,"are you a computer, or are you a real person",133
are_you_a_bot,"clear something up, are you a robot",133
are_you_a_bot,would you consider yourself to be a bot,133
are_you_a_bot,are you secretly real,133
are_you_a_bot,are you a computer,133
are_you_a_bot,are you a real person or automated,133
are_you_a_bot,are you real or not,133
are_you_a_bot,are you a live being,133
are_you_a_bot,your a bot aren't you,133
are_you_a_bot,do you know you are not human,133
are_you_a_bot,please tell me if you are an ai,133
are_you_a_bot,are you a real life person,133
are_you_a_bot,"how are you classified, as a human or a computer",133
are_you_a_bot,are you a human being or a robot,133
are_you_a_bot,are you really a person or an ai,133
are_you_a_bot,are you a human or an ai,133
are_you_a_bot,are you an actual person,133
are_you_a_bot,are you a human or a bot,133
are_you_a_bot,would you tell me if you are a human or are a computer,133
are_you_a_bot,are you considered a bot,133
are_you_a_bot,so are you a bot,133
are_you_a_bot,"i am not a bot, are you",133
are_you_a_bot,can you tell me if your a bot,133
balance,i keep trying to figure out if i have enough money in my chase account to purchase a new set of tires,25
balance,do you know how much i have in checking,25
balance,can you tell me my checking account balance,25
balance,could be there be a good amount of money in my checking account to go on a vacation,25
balance,is tehre enough in my bluebird account for groceries this week,25
balance,do i have more than $100 in my pnc account,25
balance,how much is left of mastercard,25
balance,what is status of my bank account,25
balance,how much money do i have in checking,25
balance,how much money do i have in all of my accounts,25
balance,will you tell me my bank balance,25
balance,how much do i have in the bank,25
balance,what's my checking balance,25
balance,is there any money left,25
balance,what is my saving's account balance,25
balance,how much is available in my savings account,25
balance,what is the balance of my bank of american account,25
balance,is there enough money in my discover account for a vacation,25
balance,i'd like to know my bank balance please,25
balance,what is the balance of my bank accounts,25
balance,tell me the current balance of my bank accounts,25
balance,could you tell me what my checking account balance is,25
balance,how much money is in my checking account,25
balance,do i have enough in my sears account to buy a new dishwasher,25
balance,is there enough in my wells fargo account to buy some nike's,25
bill_balance,what is the total amount i am going to have to pay in bills this month,128
bill_balance,how much do i need to pay on my bills,128
bill_balance,how much in total will i be paying for bills,128
bill_balance,what do my bills look like for amazon and netflix,128
bill_balance,tell me how much my verizon and comcast bill come to together,128
bill_balance,how much is my kill bill bill for,128
bill_balance,remind me of the invoice total for my plumbing bill,128
bill_balance,how much is my current water bill for,128
bill_balance,what's the water bill,128
bill_balance,do i owe any bills,128
bill_balance,"i think i owe about 100 left on my bills, am i forgetting anything",128
bill_balance,my water bill is how much this month,128
bill_balance,add all my bills for this month and tell me the total,128
